Num;Name;Overview;Platform;Year_of_Release;Genre;Publisher;NA_players;EU_players;JP_players;Other_players;Global_players;Critic_Score;Critic_Count;User_Score;User_Count;Developer;Rating;console;alcohol_reference;animated_blood;blood;blood_and_gore;cartoon_violence;crude_humor;drug_reference;fantasy_violence;intense_violence;language;lyrics;mature_humor;mild_blood;mild_cartoon_violence;mild_fantasy_violence;mild_language;mild_lyrics;mild_suggestive_themes;mild_violence;no_descriptors;nudity;partial_nudity;sexual_content;sexual_themes;simulated_gambling;strong_janguage;strong_sexual_content;suggestive_themes;use_of_alcohol;use_of_drugs_and_alcohol;violence;esrb_rating
527;Madden NFL 2003;Madden NFL 2003 is an American football simulation video game based on the NFL that was developed by EA Tiburon and Budcat Creations and published by EA;PS2;2002;Sports;Electronic Arts;3.36;0.21;0.01;0.56;4.14;95.0;25.0;7.7;65.0;EA Sports;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
528;Skate;Para abreviar se le designa simplemente skate. que es también el término utilizado para nombrar el monopatín o patineta. tabla sobre la que se practica el;X360;2007;Sports;Electronic Arts;0.62;0.03;0.0;0.06;0.71;86.0;59.0;8.4;137.0;EA Black Box;T;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
530;Crysis;Crysis es un videojuego de disparos en primera persona de ciencia ficción desarrollado por la empresa alemana Crytek y distribuido por Electronic Arts. Fue;PC;2007;Shooter;Electronic Arts;0.0;0.69;0.0;0.02;0.71;91.0;56.0;8.0;1970.0;Crytek;M;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;M
533;Doom 3: Resurrection of Evil;Doom 3: Resurrection of Evil es un juego de disparos en primera persona. es una expansión para el juego Doom 3. Fue lanzada el 4 de abril de 2005 para;XB;2005;Shooter;Activision;0.53;0.15;0.0;0.03;0.71;77.0;41.0;7.9;16.0;id Software;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
534;Ace Attorney Investigations: Miles Edgeworth;Ace Attorney Investigations: Miles Edgeworth;DS;2009;Adventure;Capcom;0.23;0.14;0.3;0.04;0.7;78.0;51.0;8.4;79.0;Capcom;T;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;T
535;Catherine;"Catherine (キャサリン. Kyasarin) es un videojuego de. lógica y aventura desarrollado y distribuido por Atlus para PlayStation 3 y Xbox 360.
 Modos de juego: Un jugador ; multijugador‎
 Fecha(s) de lanzamiento: JP 17 de febrero de";PS3;2011;Adventure;Deep Silver;0.3;0.14;0.2;0.06;0.7;79.0;61.0;8.1;372.0;Atlus;M;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;M
536;Madden NFL 2005;Madden NFL 2005 es un videojuego de simulación de fútbol americano basado en la NFL que fue desarrollado por EA Tiburon. junto con Exient Entertainment y;PS2;2004;Sports;Electronic Arts;4.18;0.26;0.01;0.08;4.53;91.0;30.0;7.9;78.0;EA Tiburon;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
537;Infinite Undiscovery;Infinite Undiscovery. Square Enix • Juegos de rol. COP$59.900. COP$59.900+. AGREGAR AL CARRO. ○ ○ ○. ADOLESCENTES. Apropiado hasta 13 años.;X360;2008;Role-Playing;Square Enix;0.34;0.18;0.12;0.06;0.7;68.0;60.0;7.0;158.0;Tri-Ace;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
538;Mafia;Mafia es un término utilizado a nivel mundial que se refiere a una clase especial de crimen organizado. extendido desde su origen en el Mezzogiorno italiano;PS2;2004;Action;Illusion Softworks;0.34;0.27;0.0;0.09;0.7;65.0;30.0;7.6;62.0;Illusion Softworks;M;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;M
539;Classic NES Series: Zelda II: The Adventure of Link;Fue relanzado para Game Boy Advance en 2004 bajo la colección Classic NES Series y en 2003 para Nintendo Gamecube en el recopilatorio The Legend of Zelda:;GBA;2004;Adventure;Nintendo;0.37;0.14;0.17;0.01;0.7;73.0;8.0;7.5;39.0;Nintendo;E;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;E
542;Harry Potter and the Chamber of Secrets;Harry Potter y la cámara secreta (título original en inglés. Harry Potter and the Chamber of Secrets) es una película de género fantástico. dirigida por;PS2;2002;Action;Electronic Arts;0.9;1.22;0.04;0.44;2.61;71.0;16.0;7.6;49.0;Electronic Arts;E;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
545;The Last Remnant;The Last Remnant (ラストレムナント. Rasuto Remunanto) Es un videojuego de rol desarrollado y publicado por Square Enix. El juego está dirigido para;X360;2008;Role-Playing;Square Enix;0.25;0.2;0.18;0.06;0.68;66.0;49.0;6.9;122.0;Square Enix;M;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;M
546;Iron Man;"Iron Man (conocido en español como el Hombre de Hierro) es un superhéroe que aparece en los cómics estadounidenses publicados por Marvel Comics.
 Nombre de nacimiento: Anthony Edward Stark
 Creado por: Stan Lee; Larry Lieber; Don Heck;";PS3;2008;Action;Sega;0.32;0.25;0.0;0.11;0.68;42.0;27.0;6.2;45.0;Secret Level;T;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;T
547;Wolfenstein: The New Order;"Wolfenstein: The New Order es un videojuego de disparos acción-aventura en primera persona producido por MachineGames y publicado por Bethesda Softworks.
 Modos de juego: Un jugador
 Desarrolladora(s): MachineGames
 Controles: teclado
 Fecha(s) de lanzamiento: NA 20 de mayo de 2";PS4;2014;Shooter;Bethesda Softworks;0.47;0.8;0.03;0.24;1.55;79.0;73.0;8.1;1116.0;MachineGames;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
548;Return to Castle Wolfenstein: Tides of War;"La versión ""Game of the Year Edition"" incluye el ""Wolfenstein 3D"" original. Versión de Xbox[editar]. Se tituló Return to Castle Wolfenstein: Tides of War.
 Modos de juego: Multijugador; ‎Un jugador‎; Co";XB;2003;Shooter;Activision;0.49;0.16;0.0;0.02;0.67;84.0;38.0;8.8;33.0;Nerve Software;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
549;RIFT;Los rifts son fosas tectónicas alargadas donde la corteza terrestre está sufriendo divergencia y distensiones. producto de la separación de placas;PC;2011;Role-Playing;Unknown;0.44;0.16;0.0;0.07;0.67;84.0;59.0;7.3;561.0;Trion Worlds;T;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ET
550;Mass Effect;“Mass Effect”[editar];X360;2007;Role-Playing;Microsoft Game Studios;1.83;0.79;0.03;0.27;2.91;91.0;74.0;8.7;1692.0;BioWare;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;E
